date,case
2001-12-31,514
2002-01-07,913
2002-01-14,1023
2002-01-21,887
2002-01-28,815
2002-02-04,792
2002-02-11,803
2002-02-18,807
2002-02-25,692
2002-03-04,705
2002-03-11,700
2002-03-18,769
2002-03-25,589
2002-04-01,493
2002-04-08,718
2002-04-15,823
2002-04-22,781
2002-04-29,797
2002-05-06,671
2002-05-13,849
2002-05-20,869
2002-05-27,1075
2002-06-03,1164
2002-06-10,1341
2002-06-17,1443
2002-06-24,1399
2002-07-01,1492
2002-07-08,1509
2002-07-15,1481
2002-07-22,1646
2002-07-29,1596
2002-08-05,1705
2002-08-12,1668
2002-08-19,1698
2002-08-26,1732
2002-09-02,1633
2002-09-09,1509
2002-09-16,1552
2002-09-23,1388
2002-09-30,1188
2002-10-07,1220
2002-10-14,1248
2002-10-21,1189
2002-10-28,1113
2002-11-04,1188
2002-11-11,1150
2002-11-18,1109
2002-11-25,980
2002-12-02,905
2002-12-09,869
2002-12-16,803
2002-12-23,428
2002-12-30,384
2003-01-06,652
2003-01-13,910
2003-01-20,763
2003-01-27,723
2003-02-03,696
2003-02-10,631
2003-02-17,686
2003-02-24,618
2003-03-03,544
2003-03-10,570
2003-03-17,505
2003-03-24,574
2003-03-31,641
2003-04-07,633
2003-04-14,512
2003-04-21,462
2003-04-28,555
2003-05-05,649
2003-05-12,786
2003-05-19,775
2003-05-26,723
2003-06-02,867
2003-06-09,892
2003-06-16,979
2003-06-23,1236
2003-06-30,1250
2003-07-07,1481
2003-07-14,1377
2003-07-21,1430
2003-07-28,1341
2003-08-04,1324
2003-08-11,1273
2003-08-18,1451
2003-08-25,1486
2003-09-01,1371
2003-09-08,1355
2003-09-15,1216
2003-09-22,1233
2003-09-29,1055
2003-10-06,1089
2003-10-13,1132
2003-10-20,1083
2003-10-27,983
2003-11-03,863
2003-11-10,1052
2003-11-17,1049
2003-11-24,970
2003-12-01,949
2003-12-08,875
2003-12-15,838
2003-12-22,444
2003-12-29,361
2004-01-05,708
2004-01-12,1113
2004-01-19,745
2004-01-26,657
2004-02-02,650
2004-02-09,695
2004-02-16,684
2004-02-23,603
2004-03-01,687
2004-03-08,636
2004-03-15,629
2004-03-22,598
2004-03-29,688
2004-04-05,540
2004-04-12,533
2004-04-19,745
2004-04-26,813
2004-05-03,862
2004-05-10,868
2004-05-17,798
2004-05-24,943
2004-05-31,982
2004-06-07,1077
2004-06-14,1310
2004-06-21,1429
2004-06-28,1336
2004-07-05,1507
2004-07-12,1496
2004-07-19,1521
2004-07-26,1524
2004-08-02,1555
2004-08-09,1604
2004-08-16,1760
2004-08-23,1753
2004-08-30,1730
2004-09-06,1671
2004-09-13,1605
2004-09-20,1520
2004-09-27,1240
2004-10-04,1252
2004-10-11,1297
2004-10-18,1078
2004-10-25,1097
2004-11-01,1078
2004-11-08,1176
2004-11-15,1038
2004-11-22,1109
2004-11-29,1105
2004-12-06,1015
2004-12-13,1057
2004-12-20,876
2004-12-27,451
2005-01-03,787
2005-01-10,1298
2005-01-17,1024
2005-01-24,896
2005-01-31,873
2005-02-07,809
2005-02-14,726
2005-02-21,771
2005-02-28,817
2005-03-07,753
2005-03-14,669
2005-03-21,604
2005-03-28,528
2005-04-04,750
2005-04-11,1031
2005-04-18,1078
2005-04-25,1090
2005-05-02,896
2005-05-09,1067
2005-05-16,1006
2005-05-23,1232
2005-05-30,1485
2005-06-06,1774
2005-06-13,1676
2005-06-20,1791
2005-06-27,1826
2005-07-04,1836
2005-07-11,1866
2005-07-18,1756
2005-07-25,1790
2005-08-01,1683
2005-08-08,1724
2005-08-15,1628
2005-08-22,1751
2005-08-29,1730
2005-09-05,1786
2005-09-12,1729
2005-09-19,1509
2005-09-26,1291
2005-10-03,1013
2005-10-10,1368
2005-10-17,1291
2005-10-24,1251
2005-10-31,991
2005-11-07,1054
2005-11-14,1051
2005-11-21,921
2005-11-28,839
2005-12-05,806
2005-12-12,864
2005-12-19,833
2005-12-26,522
2006-01-02,714
2006-01-09,1234
2006-01-16,1042
2006-01-23,738
2006-01-30,756
2006-02-06,701
2006-02-13,712
2006-02-20,655
2006-02-27,637
2006-03-06,618
2006-03-13,631
2006-03-20,633
2006-03-27,539
2006-04-03,560
2006-04-10,463
2006-04-17,454
2006-04-24,676
2006-05-01,646
2006-05-08,757
2006-05-15,871
2006-05-22,721
2006-05-29,808
2006-06-05,903
2006-06-12,1065
2006-06-19,1223
2006-06-26,1310
2006-07-03,1258
2006-07-10,1352
2006-07-17,1370
2006-07-24,1367
2006-07-31,1554
2006-08-07,1492
2006-08-14,1561
2006-08-21,1590
2006-08-28,1516
2006-09-04,1364
2006-09-11,1466
2006-09-18,1301
2006-09-25,1216
2006-10-02,978
2006-10-09,1097
2006-10-16,1133
2006-10-23,1189
2006-10-30,997
2006-11-06,1095
2006-11-13,1131
2006-11-20,1133
2006-11-27,1131
2006-12-04,1000
2006-12-11,1077
2006-12-18,1059
2006-12-25,565
2007-01-01,657
2007-01-08,1223
2007-01-15,1180
2007-01-22,978
2007-01-29,1022
2007-02-05,901
2007-02-12,924
2007-02-19,835
2007-02-26,929
2007-03-05,1026
2007-03-12,1015
2007-03-19,1026
2007-03-26,939
2007-04-02,877
2007-04-09,770
2007-04-16,1126
2007-04-23,1227
2007-04-30,974
2007-05-07,1304
2007-05-14,1201
2007-05-21,1339
2007-05-28,1351
2007-06-04,1473
2007-06-11,1808
2007-06-18,2023
2007-06-25,1879
2007-07-02,1882
2007-07-09,1933
2007-07-16,1945
2007-07-23,1834
2007-07-30,1590
2007-08-06,1432
2007-08-13,1712
2007-08-20,1717
2007-08-27,1688
2007-09-03,1623
2007-09-10,1501
2007-09-17,1431
2007-09-24,1362
2007-10-01,1155
2007-10-08,1356
2007-10-15,1372
2007-10-22,1274
2007-10-29,1156
2007-11-05,1247
2007-11-12,1320
2007-11-19,1133
2007-11-26,1078
2007-12-03,1035
2007-12-10,978
2007-12-17,941
2007-12-24,442
2007-12-31,479
2008-01-07,1037
2008-01-14,1062
2008-01-21,828
2008-01-28,827
2008-02-04,757
2008-02-11,832
2008-02-18,837
2008-02-25,814
2008-03-03,792
2008-03-10,747
2008-03-17,643
2008-03-24,542
2008-03-31,798
2008-04-07,994
2008-04-14,963
2008-04-21,967
2008-04-28,936
2008-05-05,1071
2008-05-12,1013
2008-05-19,1329
2008-05-26,1528
2008-06-02,1649
2008-06-09,1801
2008-06-16,1652
2008-06-23,1468
2008-06-30,1680
2008-07-07,1891
2008-07-14,1810
2008-07-21,1743
2008-07-28,1595
2008-08-04,1808
2008-08-11,1874
2008-08-18,1759
2008-08-25,1843
2008-09-01,1807
2008-09-08,1923
2008-09-15,1545
2008-09-22,1469
2008-09-29,1251
2008-10-06,1324
2008-10-13,1444
2008-10-20,1354
2008-10-27,1169
2008-11-03,1330
2008-11-10,1248
2008-11-17,1302
2008-11-24,1157
2008-12-01,1213
2008-12-08,1088
2008-12-15,1092
2008-12-22,665
2008-12-29,454
2009-01-05,1005
2009-01-12,1426
2009-01-19,908
2009-01-26,713
2009-02-02,703
2009-02-09,765
2009-02-16,745
2009-02-23,710
2009-03-02,775
2009-03-09,816
2009-03-16,758
2009-03-23,924
2009-03-30,887
2009-04-06,825
2009-04-13,680
2009-04-20,1041
2009-04-27,1021
2009-05-04,1098
2009-05-11,1165
2009-05-18,952
2009-05-25,1239
2009-06-01,1165
2009-06-08,1276
2009-06-15,1537
2009-06-22,1934
2009-06-29,1719
2009-07-06,1949
2009-07-13,1787
2009-07-20,1645
2009-07-27,1764
2009-08-03,1675
2009-08-10,1884
2009-08-17,1914
2009-08-24,1850
2009-08-31,1825
2009-09-07,1644
2009-09-14,1548
2009-09-21,1370
2009-09-28,1391
2009-10-05,1323
2009-10-12,1154
2009-10-19,1106
2009-10-26,1168
2009-11-02,1186
2009-11-09,1090
2009-11-16,1019
2009-11-23,1112
2009-11-30,1048
2009-12-07,1021
2009-12-14,1004
2009-12-21,651
2009-12-28,459
2010-01-04,1074
2010-01-11,1388
2010-01-18,897
2010-01-25,751
2010-02-01,687
2010-02-08,663
2010-02-15,652
2010-02-22,681
2010-03-01,794
2010-03-08,783
2010-03-15,856
2010-03-22,889
2010-03-29,752
2010-04-05,553
2010-04-12,909
2010-04-19,869
2010-04-26,863
2010-05-03,943
2010-05-10,863
2010-05-17,1041
2010-05-24,1036
2010-05-31,1624
2010-06-07,1696
2010-06-14,1887
2010-06-21,1837
2010-06-28,1875
2010-07-05,2033
2010-07-12,2021
2010-07-19,2069
2010-07-26,2114
2010-08-02,1943
2010-08-09,1960
2010-08-16,2045
2010-08-23,1865
2010-08-30,1781
2010-09-06,1589
2010-09-13,1464
2010-09-20,1517
2010-09-27,1460
2010-10-04,1382
2010-10-11,1450
2010-10-18,1266
2010-10-25,1359
2010-11-01,1265
2010-11-08,1354
2010-11-15,1395
2010-11-22,1212
2010-11-29,1104
2010-12-06,1029
2010-12-13,955
2010-12-20,690
2010-12-27,556
2011-01-03,878
2011-01-10,1249
2011-01-17,924
2011-01-24,745
2011-01-31,763
2011-02-07,860
2011-02-14,832
2011-02-21,754
2011-02-28,812
2011-03-07,746
2011-03-14,743
2011-03-21,760
2011-03-28,746
2011-04-04,806
2011-04-11,895
2011-04-18,775
2011-04-25,625
2011-05-02,1010
2011-05-09,980
2011-05-16,1181
2011-05-23,1565
2011-05-30,2244
2011-06-06,2435
2011-06-13,2186
2011-06-20,2130
2011-06-27,2324
2011-07-04,2447
2011-07-11,2389
2011-07-18,2288
2011-07-25,2079
2011-08-01,1908
2011-08-08,2120
2011-08-15,2082
2011-08-22,2098
2011-08-29,2160
2011-09-05,1975
2011-09-12,1821
2011-09-19,1700
2011-09-26,1385
